Probe Name,sample01,sample02,sample03,sample04,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29
ABCF1,40.08,44.54,65.87,30.94,41.14,20,41.29,38.19,39.57,28.91,36.99,26.59,48.71,34.74,30.33,39.07,41.35,43.36,49.06,39.65,33.3,20,43.2,28.45,25.26,58.9,73.12,83.34,74.52
ALAS1,20,20,20,20,21.01,20,59.24,22.05,20,31.23,20,20,32.1,20,20,20,20,26.76,20,30.7,20,20,20,23.71,24.11,77.68,48.17,103.46,48.02
DDX50,5383.82,3793.7,3487.98,4072.88,2336.08,3298.28,3439.3,2748.8,3922.39,2028.49,4617.63,3498.07,2448.59,2517.23,7123.21,8598.24,4244.73,1740.03,5497.57,1733.24,2902.42,3736.34,3073.4,2173.19,3274.46,12304.06,11912.42,10955.44,8934.67
ERCC3,29.83,32.25,42.82,20,29.76,20,20,20.44,20,25.44,25.78,20,26.57,29.87,22.28,20,20,24.91,28.03,29.42,33.3,20,28.33,45.05,32.15,62.32,77.42,86.22,81.14
G6PD,28.9,20,20,24.54,49.89,49.91,62.83,33.88,20,54.36,20,20,20,20,22.9,20,52.48,20,20,24.94,20,20,20,33.2,20,102.44,51.61,74.72,47.19
GUSB,24.23,20,20,25.6,20,20,20,20,20,33.54,28.03,32.92,28.78,37.18,32.81,20,34.99,20,20,20,21.19,20,23.37,42.68,42.48,40.98,49.03,20,75.35
HDAC3,62.45,69.12,47.76,61.87,83.15,74.87,48.47,56.47,44.32,52.04,42.6,44.31,57.56,41.45,33.42,20,38.17,63.66,40.05,69.71,57.52,20,66.57,46.24,58.55,79.39,113.55,100.59,120.06
HPRT1,49.4,46.08,69.17,62.94,35.89,47.83,52.06,33.34,52.24,61.29,48.21,58.24,42.06,55.46,40.23,46.89,44.53,46.13,57.07,53.72,71.44,20,53.82,58.09,52.81,80.25,90.32,77.6,115.92
OAZ1,14381.41,9740.74,8365.89,11023.86,15740.76,11078.13,9621.43,22485.73,9478.33,9565.36,15303.55,11179.15,6890.82,13226.14,19886.57,16340.75,10994.31,17325.62,15741.81,6672.67,12399.14,13652.02,9616.06,8350.11,12337.8,50762.25,59173.3,36332.29,43914.09
POLR2A,65.25,82.94,70.81,54.4,94.53,103.98,102.32,102.19,71.23,57.82,61.66,75.96,78.59,62.17,61.9,60.56,66.8,84.88,74.09,67.79,53.28,20,70.82,78.25,55.11,295.37,229.68,163.81,176.36
